AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
0.0,0.011338937208183157,0.16427335561357295,0.02609259821474552,0.03130639,-0.027259108679219872,-0.12664564501887424,-0.05780977010726929,-0.08984878,-2.2155620391456328,-2.869982134637689,100000.0,0.09999999999999999,case_169,pinn,0018
0.0,0.010969479388716983,0.042192119184997504,0.02405998669564724,0.02556863,-0.027663341687568167,-0.04369552144426277,-0.06152811646461487,-0.08992623,-2.557279737637847,-3.517053123299919,200000.0,0.19999999999999998,case_170,pinn,0018
0.0,0.01071509638149089,0.010535468981350828,0.01893135905265808,0.02233096,-0.029307171039345103,-0.046339484572221826,-0.0815003514289856,-0.09508687,-4.30504493640896,-4.2580735445318965,500000.0,0.5,case_171,pinn,0018
0.0,0.010631396657093752,0.008484700695005112,0.017107006162405014,0.02123477,-0.02985997922310871,-0.013364078285429157,-0.12051460146903992,-0.09681507,-7.044751157796812,-4.559270950427059,1000000.0,1.0,case_172,pinn,0018
2.0,0.010250715954690738,0.16118927181437498,0.02629671059548855,0.03034441,0.03424186617840417,0.06947184853815846,0.15006433427333832,0.1254616,5.7065819593072336,4.134586897553784,100000.0,0.09999999999999999,case_173,pinn,0018
2.0,0.009868940591431223,0.03887888937981319,0.023861436173319817,0.0249507,0.03354198155759765,0.05787982157835084,0.15036895871162415,0.1236389,6.301756424860804,4.955327906631878,200000.0,0.19999999999999998,case_174,pinn,0018
2.0,0.010623541370845604,0.008432628125679005,0.018948644399642944,0.02308966,0.03218667045466137,0.023736739611445852,0.13078175485134125,0.1195883,6.90190559773266,5.179301037780547,500000.0,0.5,case_175,pinn,0018
2.0,0.010535950199227538,0.006187250556528279,0.01699201390147209,0.02198144,0.03188149102158828,0.03384584814965641,0.10729579627513885,0.1187158,6.314483786165179,5.400728978629243,1000000.0,1.0,case_176,pinn,0018
4.0,0.01115365018847206,0.1213169691186461,0.030940968543291092,0.036218,0.09342409413919585,0.26446929096563127,0.3511815667152405,0.3308058,11.350050862948404,9.133740129217516,100000.0,0.09999999999999999,case_177,pinn,0018
4.0,0.010681570831060262,0.029482288791007498,0.02843620255589485,0.03049074,0.09318633650246988,0.15447036143301648,0.35394546389579773,0.3319597,12.447001782325696,10.887230024591073,200000.0,0.19999999999999998,case_178,pinn,0018
4.0,0.010397007493087876,0.010424974799967325,0.022872108966112137,0.02722776,0.09306769959974243,0.09756257598952839,0.3375017046928406,0.3320941,14.756037809757341,12.196893905337788,500000.0,0.5,case_179,pinn,0018
4.0,0.01030068214569218,0.006512131480684846,0.02190382033586502,0.02612214,0.09302060760695371,0.09172283361302745,0.32115843892097473,0.3321273,14.662211157526444,12.714398590620831,1000000.0,1.0,case_180,pinn,0018
6.0,0.011538335318828646,0.06611139601757733,0.038897886872291565,0.04369375,0.1505211922168211,0.46014962883272825,0.5324878692626953,0.5282177,13.689377806330311,12.08909054498641,100000.0,0.09999999999999999,case_181,pinn,0018
6.0,0.011000213892544405,0.01826919279440373,0.036573879420757294,0.03801949,0.15024883845361797,0.2507005575752473,0.5335012674331665,0.530507,14.586947731073368,13.95355382200024,200000.0,0.19999999999999998,case_182,pinn,0018
6.0,0.010685898371282407,0.014146345369868838,0.03132185339927673,0.03479365,0.15085023473576772,0.16699180846377787,0.5240793228149414,0.5331513,16.73206614353936,15.323235705365777,500000.0,0.5,case_183,pinn,0018
6.0,0.010581589948952294,0.007622117816876123,0.030608464032411575,0.03369825,0.1510679148184768,0.14414382726335273,0.5120173096656799,0.5340996,16.727964824484502,15.849475862989918,1000000.0,1.0,case_184,pinn,0018
8.0,0.010474442063043614,0.05237609109206729,0.050007786601781845,0.05151452,0.20995974022952935,0.7301636946952249,0.6998752355575562,0.734545,13.99532519066978,14.258989504318395,100000.0,0.09999999999999999,case_185,pinn,0018
8.0,0.011613596504538587,0.020703952241382783,0.04803093522787094,0.04913025,0.20400918997149486,0.36245052510335224,0.706570029258728,0.7164098,14.71072811525698,14.581847232611272,200000.0,0.19999999999999998,case_186,pinn,0018
8.0,0.011280832582068617,0.019193146446157307,0.043099552392959595,0.04600582,0.20506593184957733,0.232110786039579,0.694520115852356,0.7207146,16.11432317254894,15.665726640672853,500000.0,0.5,case_187,pinn,0018
8.0,0.011164102200940815,0.009178726553982781,0.04312901943922043,0.04493927,0.20556797319034176,0.18431955097556352,0.6999633312225342,0.7226296,16.22952110490148,16.08013659322904,1000000.0,1.0,case_188,pinn,0018
10.0,0.011310427626110954,0.1034472267905007,0.06368792802095413,0.06576742,0.2605010655449675,1.212393741144261,0.8528262972831726,0.9071514,13.390705645229689,13.793325023240993,100000.0,0.09999999999999999,case_189,pinn,0018
10.0,0.010719429002448617,0.039023363603268475,0.06230578571557999,0.06072158,0.2637571804815546,0.5094422113138188,0.8629798293113708,0.9193335,13.850717383627776,15.140144574630636,200000.0,0.19999999999999998,case_190,pinn,0018
