model,metric,n_seeds,mean,std,minimum,maximum
pinn,Cd_rmse,3,0.0032780191044950607,0.00029307413641396405,0.002939691310766953,0.0034537539547217517
pinn,Cl_mae,3,0.027700435469820702,0.00407341131525521,0.025047117861847285,0.0323905164888531
pinn,Cl_pearson_r,3,0.9982314022726824,9.079961667124122e-05,0.9981659846368853,0.9983350686136683
pinn,Cl_rmse,3,0.03516347614722513,0.005635431968590052,0.03166628696611862,0.04166447479743813
pinn,Cp_mae,3,0.022068834573117257,0.0008987150707188468,0.0213113952159807,0.02306188559024202
pinn,Cp_r2,3,0.932601765804984,0.0035863048095793604,0.9285223751242198,0.9352583168355257
pinn,Cp_rmse,3,0.04452221085608966,0.0011773179547628382,0.04364612172883994,0.04586049341460424
pinn,cavitation_f1,3,0.8665911186774955,0.007579322235582192,0.8592238805970149,0.8743660673121254
pinn,cavitation_precision,3,0.9589621105141802,0.018442145369211304,0.943358395989975,0.9793140990745781
pinn,cavitation_recall,3,0.7909664610366588,0.02238154681145628,0.7653690704105509,0.8068496064667092
pinn,inference_seconds,3,0.005873184716620017,8.344834753348884e-06,0.005867466649942798,0.005882760449458147
pinn,p_mae,3,4.6422869987244555,0.10647574782401205,4.553639877190146,4.7603896266952805
pinn,p_r2,3,0.9322984514637955,0.005686553539022601,0.9257569139459817,0.9360622783627295
pinn,p_rmse,3,11.556286629130847,0.4803337725738198,11.236926433811917,12.108684605565127
pinn,parameter_count,3,9930.0,0.0,9930.0,9930.0
pinn,speedup_vs_openfoam,3,866.6519257743543,1.2304175627956218,865.2400592767351,867.4953440169314
pinn,training_seconds,3,66.54989631933374,2.140448625634164,64.94976925000083,68.98128304100828
unet,Cd_mae,3,0.006777158136435524,0.003902697035901642,0.0032092296098180867,0.010945122960932852
unet,Cd_pearson_r,3,0.7052696741028753,0.4206863110587487,0.22103909298948124,0.9808144508679592
unet,Cd_rmse,3,0.008712665940405316,0.005218137110998945,0.00393667972711622,0.0142820772334942
unet,Cl_mae,3,0.21696320824749984,0.17564098783051502,0.09768819823870659,0.41865654944538355
unet,Cl_pearson_r,3,0.8035120686894147,0.30409407566446295,0.45242017334411394,0.9839638925689619
unet,Cl_rmse,3,0.25819593813455693,0.2002926877135545,0.11948555443587915,0.48782194093256376
unet,Cp_mae,3,0.040128035663726844,0.022113246958441697,0.023498083148505006,0.06522333374635444
unet,Cp_r2,3,0.821774669831524,0.1909112222672846,0.6023911714120371,0.9501815266687645
unet,Cp_rmse,3,0.06570614768338484,0.03728683710816613,0.03828678273775099,0.10816373514099195
unet,cavitation_f1,3,0.7581019372169048,0.19832765846928058,0.5295315682281059,0.8846570006492102
unet,cavitation_precision,3,0.8171988170750649,0.08415118054166057,0.7319819819819819,0.9002422373926448
unet,cavitation_recall,3,0.7298447138906616,0.2734096570826298,0.4148053605615826,0.9051265688151457
unet,inference_seconds,3,0.009364616649933549,0.0002295095602801228,0.0092043750002631,0.009627539549546782
unet,p_mae,3,13.099680108666185,5.8436857409708605,6.403288954707588,17.167196319379116
unet,p_r2,3,0.5261394218216972,0.3584248368545646,0.2290950055418478,0.924244932171413
unet,p_rmse,3,28.31512123027653,14.180920466087763,12.231361585751243,39.01839392815181
unet,parameter_count,3,485178.0,0.0,485178.0,485178.0
unet,speedup_vs_openfoam,3,543.7502443274877,13.153827858770702,528.6916739012111,552.9978950069403
unet,training_seconds,3,555.9369077913337,214.40959380880662,309.37813875000575,698.659902415995
