seed,model,metric,value
7,fno,Cl_mae,0.18929086968649628
7,fno,Cl_rmse,0.22505829723626247
7,fno,Cl_pearson_r,0.9061368082855382
7,fno,Cd_mae,0.007467440990540013
7,fno,Cd_rmse,0.009697269301331019
7,fno,Cd_pearson_r,0.748709636767472
7,pinn,Cl_mae,0.0323905164888531
7,pinn,Cl_rmse,0.04166447479743813
7,pinn,Cl_pearson_r,0.9981931535674937
7,pinn,Cd_mae,0.00304516922938712
7,pinn,Cd_rmse,0.003440612047996478
7,pinn,Cd_pearson_r,0.9845495261848278
7,unet,Cl_mae,0.13454487705840945
7,unet,Cl_rmse,0.16728031903522805
7,unet,Cl_pearson_r,0.9741521401551684
7,unet,Cd_mae,0.0032092296098180867
7,unet,Cd_rmse,0.00393667972711622
7,unet,Cd_pearson_r,0.9808144508679592
7,deeponet,cavitation_precision,0.9536169190098533
7,deeponet,cavitation_recall,0.8440757285683897
7,deeponet,cavitation_f1,0.8955089144662605
7,fno,cavitation_precision,0.7290021536252692
7,fno,cavitation_recall,0.8640714741544352
7,fno,cavitation_f1,0.7908108634284046
7,pinn,cavitation_precision,0.9793140990745781
7,pinn,cavitation_recall,0.7653690704105509
7,pinn,cavitation_f1,0.8592238805970149
7,unet,cavitation_precision,0.9002422373926448
7,unet,cavitation_recall,0.8696022122952564
7,unet,cavitation_f1,0.8846570006492102
7,unet,inference_seconds,0.009261935399990762
7,unet,speedup_vs_openfoam,549.5611640743118
7,fno,inference_seconds,0.011000393750146031
7,fno,speedup_vs_openfoam,462.7107097809503
7,deeponet,inference_seconds,0.013197412499721395
7,deeponet,speedup_vs_openfoam,385.68166298563847
7,pinn,inference_seconds,0.005869327050459105
7,pinn,speedup_vs_openfoam,867.2203740293965
7,pinn,training_seconds,68.98128304100828
7,pinn,parameter_count,9930.0
7,deeponet,training_seconds,42.63939733299776
7,deeponet,parameter_count,100746.0
7,fno,training_seconds,367.82346916699316
7,fno,parameter_count,595914.0
7,unet,training_seconds,659.7726822080003
7,unet,parameter_count,485178.0
