id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_147,0015,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_148,0015,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_149,0015,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_150,0015,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_151,0015,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_152,0015,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_153,0015,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_154,0015,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_155,0015,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_156,0015,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_157,0015,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_158,0015,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_159,0015,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_160,0015,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_161,0018,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_162,0018,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_163,0018,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_164,0018,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_165,0018,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_166,0018,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_167,0018,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_168,0018,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_169,0018,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_170,0018,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_171,0018,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_172,0018,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_173,0018,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_174,0018,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_175,0018,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_176,0018,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_177,0018,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_178,0018,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_179,0018,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_180,0018,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_181,0018,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_182,0018,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_183,0018,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_184,0018,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_185,0018,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_186,0018,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
