AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
8.0,0.02099880389869213,-1.2920979261398315,0.034926556050777435,-1.878745198249817,200000.0,0.19999999999999998,case_154,11.09784984588623,98819.953125,18.027132034301758,98987.5390625,fno,0015,11.11069107055664,101120.1328125,18.034147262573242,101287.5390625
8.0,0.011573069728910923,-1.4866286516189575,0.019687356427311897,-1.8576329946517944,500000.0,0.5,case_155,4.362508773803711,98764.0234375,6.384001731872559,98793.4921875,fno,0015,4.366293907165527,101064.21875,6.381448268890381,101093.4921875
8.0,0.03097180649638176,-1.8119044303894043,0.04793568700551987,-1.8627210855484009,1000000.0,1.0,case_156,26.225866317749023,98592.5390625,45.64241027832031,98096.4296875,fno,0015,26.238941192626953,100892.84375,45.66618347167969,100396.4296875
10.0,0.023027414456009865,-1.551124930381775,0.038663800805807114,-2.478127956390381,100000.0,0.09999999999999999,case_157,17.442548751831055,98748.28125,27.63916778564453,99012.6484375,fno,0015,17.44118309020996,101048.484375,27.63153076171875,101312.6484375
10.0,0.019726281985640526,-1.6397812366485596,0.03330783545970917,-2.5060081481933594,200000.0,0.19999999999999998,case_158,17.1539306640625,98725.1328125,26.900320053100586,98975.03125,fno,0015,17.14956283569336,101025.34375,26.889286041259766,101275.03125
10.0,0.016420762985944748,-1.8122080564498901,0.026360413059592247,-2.417055606842041,500000.0,0.5,case_159,11.209746360778809,98607.3203125,16.588041305541992,98723.7734375,fno,0015,11.198846817016602,100907.6171875,16.568195343017578,101023.7734375
10.0,0.02754354290664196,-1.9459012746810913,0.04030536115169525,-2.4240314960479736,1000000.0,1.0,case_160,9.882902145385742,98197.5390625,18.56363868713379,97816.6171875,fno,0015,9.892301559448242,100495.984375,18.572288513183594,100116.6171875
-4.0,0.018404461443424225,-0.6118040680885315,0.03143718093633652,-1.1636935472488403,100000.0,0.09999999999999999,case_193,3.0671796798706055,98957.3125,4.656187534332275,99019.1953125,fno,2412,3.0805468559265137,101257.125,4.667130470275879,101319.1953125
-4.0,0.01929708942770958,-0.5828971862792969,0.03307994082570076,-1.1727303266525269,200000.0,0.19999999999999998,case_194,2.5058741569519043,98959.203125,3.669019937515259,99001.6171875,fno,2412,2.5174360275268555,101259.03125,3.6789133548736572,101301.6171875
-4.0,0.02433961071074009,-0.4998626112937927,0.04264751449227333,-1.1782134771347046,500000.0,0.5,case_195,3.0605053901672363,98968.2734375,5.298256874084473,98878.1640625,fno,2412,3.0573627948760986,101268.09375,5.2903361320495605,101178.1640625
-4.0,0.043140899389982224,-0.37802696228027344,0.07047992944717407,-1.1471837759017944,1000000.0,1.0,case_196,21.625761032104492,98974.6953125,37.32954025268555,98453.1328125,fno,2412,21.628461837768555,101274.7734375,37.31887435913086,100753.1328125
-2.0,0.013711956329643726,-0.4826771020889282,0.022472433745861053,-0.7025870680809021,100000.0,0.09999999999999999,case_197,4.370728015899658,98970.296875,7.050846099853516,99021.5,fno,2412,4.373962879180908,101270.1875,7.060961723327637,101321.5
-2.0,0.012716887518763542,-0.4589644968509674,0.021435875445604324,-0.7008787989616394,200000.0,0.19999999999999998,case_198,4.197758674621582,98972.046875,6.827244281768799,99011.0234375,fno,2412,4.199479579925537,101271.9609375,6.838404178619385,101311.0234375
-2.0,0.01706264354288578,-0.3854879140853882,0.02989521250128746,-0.7043312788009644,500000.0,0.5,case_199,1.7442656755447388,98974.40625,2.920030355453491,98937.2265625,fno,2412,1.7444947957992554,101274.4921875,2.9207069873809814,101237.2265625
-2.0,0.042330265045166016,-0.5102258920669556,0.06489875912666321,-0.7054967880249023,1000000.0,1.0,case_200,16.433134078979492,98972.1953125,28.019668579101562,98673.3125,fno,2412,16.433284759521484,101272.0703125,28.0069522857666,100973.3125
0.0,0.018735432997345924,-0.3638068735599518,0.026380764320492744,-0.5089017748832703,100000.0,0.09999999999999999,case_201,5.489190578460693,98975.4140625,8.906384468078613,99022.4609375,fno,2412,5.4890265464782715,101275.4921875,8.922287940979004,101322.4609375
0.0,0.013270719908177853,-0.3847405016422272,0.020238127559423447,-0.5049822330474854,200000.0,0.19999999999999998,case_202,4.938767433166504,98977.6484375,7.985383033752441,99014.9296875,fno,2412,4.939553737640381,101277.71875,8.001489639282227,101314.9296875
