naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0018,100000.0,case_161,-4.0,case_181,6.0,0.0,True
0018,100000.0,case_161,-4.0,case_185,8.0,0.0,True
0018,100000.0,case_161,-4.0,case_189,10.0,0.0,True
0018,200000.0,case_162,-4.0,case_166,-2.0,0.0,True
0018,200000.0,case_162,-4.0,case_170,0.0,0.0,True
0018,200000.0,case_162,-4.0,case_174,2.0,0.0,True
0018,200000.0,case_162,-4.0,case_178,4.0,0.0,True
0018,200000.0,case_162,-4.0,case_182,6.0,0.0,True
0018,200000.0,case_162,-4.0,case_186,8.0,0.0,True
0018,200000.0,case_162,-4.0,case_190,10.0,0.0,True
0018,500000.0,case_163,-4.0,case_167,-2.0,0.0,True
0018,500000.0,case_163,-4.0,case_171,0.0,0.0,True
0018,500000.0,case_163,-4.0,case_175,2.0,0.0,True
0018,500000.0,case_163,-4.0,case_179,4.0,0.0,True
0018,500000.0,case_163,-4.0,case_183,6.0,0.0,True
0018,500000.0,case_163,-4.0,case_187,8.0,0.0,True
0018,500000.0,case_163,-4.0,case_191,10.0,0.0,True
0018,1000000.0,case_164,-4.0,case_168,-2.0,0.0,True
0018,1000000.0,case_164,-4.0,case_172,0.0,0.0,True
0018,1000000.0,case_164,-4.0,case_176,2.0,0.0,True
0018,1000000.0,case_164,-4.0,case_180,4.0,0.0,True
0018,1000000.0,case_164,-4.0,case_184,6.0,0.0,True
0018,1000000.0,case_164,-4.0,case_188,8.0,0.0,True
0018,1000000.0,case_164,-4.0,case_192,10.0,0.0,True
2412,100000.0,case_193,-4.0,case_197,-2.0,0.0,True
2412,100000.0,case_193,-4.0,case_201,0.0,0.0,True
2412,100000.0,case_193,-4.0,case_205,2.0,0.0,True
2412,100000.0,case_193,-4.0,case_209,4.0,0.0,True
2412,100000.0,case_193,-4.0,case_213,6.0,0.0,True
2412,100000.0,case_193,-4.0,case_217,8.0,0.0,True
2412,100000.0,case_193,-4.0,case_221,10.0,0.0,True
2412,200000.0,case_194,-4.0,case_198,-2.0,0.0,True
2412,200000.0,case_194,-4.0,case_202,0.0,0.0,True
2412,200000.0,case_194,-4.0,case_206,2.0,0.0,True
2412,200000.0,case_194,-4.0,case_210,4.0,0.0,True
2412,200000.0,case_194,-4.0,case_214,6.0,0.0,True
2412,200000.0,case_194,-4.0,case_218,8.0,0.0,True
2412,200000.0,case_194,-4.0,case_222,10.0,0.0,True
2412,500000.0,case_195,-4.0,case_199,-2.0,0.0,True
2412,500000.0,case_195,-4.0,case_203,0.0,0.0,True
2412,500000.0,case_195,-4.0,case_207,2.0,0.0,True
2412,500000.0,case_195,-4.0,case_211,4.0,0.0,True
