AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_indicator_mae,cavitation_indicator_pred_min,cavitation_indicator_rmse,cavitation_indicator_truth_min,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
8.0,0.017388978973031044,-0.831963837146759,0.02259674109518528,-0.8865270018577576,1000000.0,1.0,case_348,8.972407705698515e-09,4.0226549673613775e-28,1.770733426553761e-08,0.0,8.568678855895996,98610.4765625,11.079753875732422,98583.0625,dnn,4418,8.568636894226074,100910.4765625,11.079708099365234,100883.0625
-2.0,0.02097059227526188,-0.913929283618927,0.0273609422147274,-0.9561296105384827,500000.0,0.5,case_359,2.1545740480632958e-07,1.9102499472264083e-26,1.840236450334487e-06,0.0,2.7889926433563232,98907.3984375,3.6706912517547607,98905.84375,dnn,4421,2.788987636566162,101207.3984375,3.670701265335083,101205.84375
-2.0,0.022076750174164772,-0.9219087958335876,0.029161689803004265,-0.9575648903846741,1000000.0,1.0,case_360,1.3433934853424034e-08,2.893164810216797e-38,4.063339886783979e-08,0.0,10.942642211914062,98562.2421875,14.77010440826416,98547.65625,dnn,4421,10.942622184753418,100862.2421875,14.770092964172363,100847.65625
2.0,0.022070931270718575,-0.9019427299499512,0.02861688658595085,-0.9575648903846741,1000000.0,1.0,case_368,1.4050180574542992e-08,2.008260944928015e-38,7.1196957662778e-08,0.0,10.867254257202148,98563.484375,14.447968482971191,98547.65625,dnn,4421,10.867219924926758,100863.484375,14.447919845581055,100847.65625
10.0,0.02221366949379444,-0.9232319593429565,0.028242848813533783,-0.9561296105384827,500000.0,0.5,case_383,2.9611726404255023e-07,1.613945317133641e-26,2.5612855552026303e-06,0.0,3.1614856719970703,98909.1171875,4.018853187561035,98905.84375,dnn,4421,3.1614372730255127,101209.1171875,4.0188446044921875,101205.84375
-4.0,0.016898393630981445,-0.29135316610336304,0.023743271827697754,-0.20554691553115845,100000.0,0.09999999999999999,case_001,3.5026863631770766e-09,1.32159116983388e-09,3.631761780198417e-09,0.0,0.5539970397949219,99015.6796875,0.7834516763687134,99023.9765625,pinn,0006,0.5432995557785034,101315.125,0.7747682332992554,101323.9765625
-4.0,0.016498619690537453,-0.29600146412849426,0.025791730731725693,-0.20992682874202728,500000.0,0.5,case_003,1.344363065314269e-09,2.897983242267088e-10,1.5137894271433083e-09,0.0,1.8994847536087036,98989.703125,3.1206095218658447,98998.8359375,pinn,0006,1.9057432413101196,101293.671875,3.135760545730591,101298.8359375
2.0,0.016315603628754616,-0.2849501073360443,0.02508680149912834,-0.20992682874202728,500000.0,0.5,case_015,1.3405790921794392e-09,3.138712900696561e-10,1.5023835508998218e-09,0.0,1.8862543106079102,98989.9609375,3.0304250717163086,98998.8359375,pinn,0006,1.8919780254364014,101293.59375,3.0438525676727295,101298.8359375
-4.0,0.015475275926291943,-0.34823739528656006,0.022302836179733276,-0.29554709792137146,500000.0,0.5,case_035,1.332233101614122e-09,2.3907689716828884e-10,1.527998505501671e-09,0.0,1.7607054710388184,98996.3984375,2.7078540325164795,98988.1640625,pinn,0008,1.774370551109314,101296.3203125,2.7553579807281494,101288.1640625
0.0,0.016167499125003815,-0.28742820024490356,0.021215535700321198,-0.2933560013771057,200000.0,0.19999999999999998,case_042,2.8673206031726295e-09,9.940090972548887e-10,2.976115576203142e-09,0.0,0.4891583323478699,99014.90625,0.7583421468734741,99019.1484375,pinn,0008,0.4869076907634735,101314.609375,0.76945561170578,101319.1484375
4.0,0.016169006004929543,-0.3581830859184265,0.022771574556827545,-0.2962748110294342,1000000.0,1.0,case_052,5.7257660834864055e-09,4.3322602449880065e-11,2.6068832426062727e-07,0.0,8.164371490478516,98868.1015625,11.547343254089355,98877.3046875,pinn,0008,8.166313171386719,101169.6484375,11.530919075012207,101177.3046875
6.0,0.016311852261424065,-0.34772300720214844,0.02301747165620327,-0.2962748110294342,1000000.0,1.0,case_056,4.940687414745071e-09,4.450240523312665e-11,2.4524641162315675e-07,0.0,8.232341766357422,98872.34375,11.673233985900879,98877.3046875,pinn,0008,8.234658241271973,101174.4140625,11.65626335144043,101177.3046875
8.0,0.01575777307152748,-0.2796485424041748,0.02050742320716381,-0.2933560013771057,200000.0,0.19999999999999998,case_058,2.8508586602526975e-09,1.0153266005730188e-09,2.946180854834779e-09,0.0,0.478333055973053,99014.2265625,0.7244646549224854,99019.1484375,pinn,0008,0.4766426682472229,101313.890625,0.7350404262542725,101319.1484375
