naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0015,500000.0,case_131,-4.0,case_139,0.0,128.15150886085758,False
0015,500000.0,case_131,-4.0,case_143,2.0,177.22115785496135,False
0015,500000.0,case_131,-4.0,case_147,4.0,212.33720850208192,False
0015,500000.0,case_131,-4.0,case_151,6.0,250.5074417102005,False
0015,500000.0,case_131,-4.0,case_155,8.0,321.89558870096516,False
0015,500000.0,case_131,-4.0,case_159,10.0,391.6136230205884,False
0015,1000000.0,case_132,-4.0,case_136,-2.0,272.5841003472451,False
0015,1000000.0,case_132,-4.0,case_140,0.0,513.9723389590654,False
0015,1000000.0,case_132,-4.0,case_144,2.0,710.7270518873702,False
0015,1000000.0,case_132,-4.0,case_148,4.0,859.3195936226111,False
0015,1000000.0,case_132,-4.0,case_152,6.0,1004.0877229107573,False
0015,1000000.0,case_132,-4.0,case_156,8.0,1290.493228397012,False
0015,1000000.0,case_132,-4.0,case_160,10.0,1570.3064298355603,False
0018,100000.0,case_161,-4.0,case_165,-2.0,2.7798775174160255,False
0018,100000.0,case_161,-4.0,case_169,0.0,4.948173241922632,False
0018,100000.0,case_161,-4.0,case_173,2.0,6.504588155847159,False
0018,100000.0,case_161,-4.0,case_177,4.0,7.631972040660912,False
0018,100000.0,case_161,-4.0,case_181,6.0,10.28556670267426,False
0018,100000.0,case_161,-4.0,case_185,8.0,13.864141982776346,False
0018,100000.0,case_161,-4.0,case_189,10.0,16.909823980604415,False
0018,200000.0,case_162,-4.0,case_166,-2.0,11.44879953059717,False
0018,200000.0,case_162,-4.0,case_170,0.0,20.1479470358463,False
0018,200000.0,case_162,-4.0,case_174,2.0,26.375030354756746,False
0018,200000.0,case_162,-4.0,case_178,4.0,30.919881268273457,False
0018,200000.0,case_162,-4.0,case_182,6.0,41.462198088367586,False
0018,200000.0,case_162,-4.0,case_186,8.0,53.8255205283931,False
0018,200000.0,case_162,-4.0,case_190,10.0,68.42322474390676,False
0018,500000.0,case_163,-4.0,case_167,-2.0,64.7464907096437,False
0018,500000.0,case_163,-4.0,case_171,0.0,119.6734786379966,False
0018,500000.0,case_163,-4.0,case_175,2.0,161.2290069454466,False
0018,500000.0,case_163,-4.0,case_179,4.0,189.29146417911397,False
0018,500000.0,case_163,-4.0,case_183,6.0,261.33306205306144,False
0018,500000.0,case_163,-4.0,case_187,8.0,339.05970608771895,False
0018,500000.0,case_163,-4.0,case_191,10.0,418.3715470469906,False
0018,1000000.0,case_164,-4.0,case_168,-2.0,259.9010182596103,False
0018,1000000.0,case_164,-4.0,case_172,0.0,480.3566252887249,False
0018,1000000.0,case_164,-4.0,case_176,2.0,647.1856848993048,False
0018,1000000.0,case_164,-4.0,case_180,4.0,758.4089797254273,False
0018,1000000.0,case_164,-4.0,case_184,6.0,1047.4480453844444,False
0018,1000000.0,case_164,-4.0,case_188,8.0,1359.449239656402,False
0018,1000000.0,case_164,-4.0,case_192,10.0,1678.0329239622079,False
2412,100000.0,case_193,-4.0,case_197,-2.0,2.2986154348618584,False
2412,100000.0,case_193,-4.0,case_201,0.0,4.385888312375755,False
2412,100000.0,case_193,-4.0,case_205,2.0,6.151488754869206,False
2412,100000.0,case_193,-4.0,case_209,4.0,7.606164602097124,False
2412,100000.0,case_193,-4.0,case_213,6.0,9.941187631469802,False
2412,100000.0,case_193,-4.0,case_217,8.0,12.846841019039857,False
2412,100000.0,case_193,-4.0,case_221,10.0,15.486403634626186,False
2412,200000.0,case_194,-4.0,case_198,-2.0,9.40872048397432,False
2412,200000.0,case_194,-4.0,case_202,0.0,17.47221771319164,False
2412,200000.0,case_194,-4.0,case_206,2.0,24.54568687887513,False
2412,200000.0,case_194,-4.0,case_210,4.0,30.413588291965425,False
2412,200000.0,case_194,-4.0,case_214,6.0,39.58803473072476,False
2412,200000.0,case_194,-4.0,case_218,8.0,51.89083622141334,False
2412,200000.0,case_194,-4.0,case_222,10.0,60.28645557854907,False
2412,500000.0,case_195,-4.0,case_199,-2.0,59.05756627883238,False
2412,500000.0,case_195,-4.0,case_203,0.0,109.74320770120539,False
2412,500000.0,case_195,-4.0,case_207,2.0,154.17434048441646,False
2412,500000.0,case_195,-4.0,case_211,4.0,191.00525037570333,False
2412,500000.0,case_195,-4.0,case_215,6.0,249.06930459510477,False
2412,500000.0,case_195,-4.0,case_219,8.0,315.46693490751204,False
2412,500000.0,case_195,-4.0,case_223,10.0,376.06956961787364,False
2412,1000000.0,case_196,-4.0,case_200,-2.0,220.1809269482619,False
2412,1000000.0,case_196,-4.0,case_204,0.0,423.3093271382095,False
2412,1000000.0,case_196,-4.0,case_208,2.0,601.3294203409168,False
2412,1000000.0,case_196,-4.0,case_212,4.0,748.8624227725377,False
2412,1000000.0,case_196,-4.0,case_216,6.0,1007.7062565274973,False
2412,1000000.0,case_196,-4.0,case_220,8.0,1273.988162340378,False
2412,1000000.0,case_196,-4.0,case_224,10.0,1517.0756311693403,False
2415,100000.0,case_225,-4.0,case_229,-2.0,2.3972570747573627,False
2415,100000.0,case_225,-4.0,case_233,0.0,4.631742697180016,False
2415,100000.0,case_225,-4.0,case_237,2.0,6.399902723918785,False
2415,100000.0,case_225,-4.0,case_241,4.0,8.132756250735838,False
2415,100000.0,case_225,-4.0,case_245,6.0,11.198988966090837,False
2415,100000.0,case_225,-4.0,case_249,8.0,14.15097200332093,False
2415,100000.0,case_225,-4.0,case_253,10.0,17.665590207325295,False
2415,200000.0,case_226,-4.0,case_230,-2.0,8.73438173197792,False
2415,200000.0,case_226,-4.0,case_234,0.0,17.77904810664768,False
2415,200000.0,case_226,-4.0,case_238,2.0,24.87082867641584,False
2415,200000.0,case_226,-4.0,case_242,4.0,33.02145551647118,False
2415,200000.0,case_226,-4.0,case_246,6.0,45.43602549112984,False
2415,200000.0,case_226,-4.0,case_250,8.0,57.032255796846584,False
2415,200000.0,case_226,-4.0,case_254,10.0,71.65126189788862,False
2415,500000.0,case_227,-4.0,case_231,-2.0,55.179958632201306,False
2415,500000.0,case_227,-4.0,case_235,0.0,111.89661674186937,False
2415,500000.0,case_227,-4.0,case_239,2.0,156.4882469252916,False
2415,500000.0,case_227,-4.0,case_243,4.0,207.6220797472197,False
2415,500000.0,case_227,-4.0,case_247,6.0,278.94796158398094,False
2415,500000.0,case_227,-4.0,case_251,8.0,359.16097759467084,False
2415,500000.0,case_227,-4.0,case_255,10.0,437.25161564223527,False
2415,1000000.0,case_228,-4.0,case_232,-2.0,221.5221955316665,False
2415,1000000.0,case_228,-4.0,case_236,0.0,448.63450521524646,False
2415,1000000.0,case_228,-4.0,case_240,2.0,627.3564895332674,False
2415,1000000.0,case_228,-4.0,case_244,4.0,812.5594664632808,False
2415,1000000.0,case_228,-4.0,case_248,6.0,1118.3526186852978,False
2415,1000000.0,case_228,-4.0,case_252,8.0,1440.2392032112111,False
2415,1000000.0,case_228,-4.0,case_256,10.0,1753.7790241042094,False
4412,100000.0,case_257,-4.0,case_261,-2.0,2.0664093102823244,False
4412,100000.0,case_257,-4.0,case_265,0.0,3.976753897353774,False
4412,100000.0,case_257,-4.0,case_269,2.0,5.619441518196254,False
4412,100000.0,case_257,-4.0,case_273,4.0,7.572375006740913,False
4412,100000.0,case_257,-4.0,case_277,6.0,10.408191369788256,False
4412,100000.0,case_257,-4.0,case_281,8.0,13.749258161260514,False
4412,100000.0,case_257,-4.0,case_285,10.0,16.704210624171537,False
4412,200000.0,case_258,-4.0,case_262,-2.0,8.465217230055714,False
4412,200000.0,case_258,-4.0,case_266,0.0,15.719335489833611,False
4412,200000.0,case_258,-4.0,case_270,2.0,22.2652519998519,False
4412,200000.0,case_258,-4.0,case_274,4.0,3984513.587866953,False
4412,200000.0,case_258,-4.0,case_278,6.0,42.45041649721679,False
4412,200000.0,case_258,-4.0,case_282,8.0,54.33929830598936,False
