AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
2.0,0.022645339369773865,-0.8245428800582886,0.03171724081039429,-0.6938931941986084,100000.0,0.09999999999999999,case_205,7.401387691497803,98914.6796875,12.31394100189209,99021.5390625,unet,2412,7.676107883453369,101207.453125,12.791367530822754,101321.5390625
2.0,0.020813345909118652,-0.8309890627861023,0.029483355581760406,-0.6901172399520874,200000.0,0.19999999999999998,case_206,6.617509841918945,98913.7734375,10.984122276306152,99011.2421875,unet,2412,6.903159141540527,101206.546875,11.468323707580566,101311.2421875
2.0,0.01977863721549511,-0.8507382869720459,0.028463298454880714,-0.6945838332176208,500000.0,0.5,case_207,2.432126045227051,98911.015625,3.5657706260681152,98938.4375,unet,2412,2.493051767349243,101203.7890625,3.811955213546753,101238.4375
2.0,0.01824084296822548,-0.8851733803749084,0.027339983731508255,-0.6960572600364685,1000000.0,1.0,case_208,22.85015106201172,98906.2109375,37.5682258605957,98678.015625,unet,2412,22.62403678894043,101198.96875,37.121360778808594,100978.015625
4.0,0.022154605016112328,-1.0941067934036255,0.03104487806558609,-0.9917176961898804,100000.0,0.09999999999999999,case_209,10.098836898803711,98877.34375,16.83548927307129,99020.0546875,unet,2412,10.468588829040527,101169.890625,17.40717315673828,101320.0546875
4.0,0.019934721291065216,-1.1029984951019287,0.028688998892903328,-0.986854612827301,200000.0,0.19999999999999998,case_210,8.96987247467041,98876.1171875,15.04918098449707,99005.3203125,unet,2412,9.345516204833984,101168.65625,15.623485565185547,101305.3203125
4.0,0.01885681413114071,-1.1302821636199951,0.02791440486907959,-0.993775486946106,500000.0,0.5,case_211,2.3185081481933594,98872.359375,3.817518472671509,98901.1484375,unet,2412,2.527700662612915,101164.8671875,4.176860332489014,101201.1484375
4.0,0.01764298789203167,-1.1776840686798096,0.027637317776679993,-0.996062695980072,1000000.0,1.0,case_212,32.4345817565918,98865.484375,49.33935546875,98528.4609375,unet,2412,32.1097412109375,101158.2890625,48.82781982421875,100828.4609375
6.0,0.019841698929667473,-1.4833804368972778,0.029344582930207253,-1.3091644048690796,100000.0,0.09999999999999999,case_213,14.698607444763184,98825.3515625,23.814895629882812,99018.4765625,unet,2412,14.996403694152832,101118.2265625,24.27506446838379,101318.4765625
6.0,0.01862449012696743,-1.4994748830795288,0.028678420931100845,-1.2995898723602295,200000.0,0.19999999999999998,case_214,13.23774528503418,98823.640625,21.54962158203125,98999.0859375,unet,2412,13.530781745910645,101116.5078125,22.004283905029297,101299.0859375
6.0,0.019036490470170975,-1.5476609468460083,0.030215265229344368,-1.3123584985733032,500000.0,0.5,case_215,3.4396228790283203,98818.5234375,5.708323001861572,98861.4453125,unet,2412,3.658637046813965,101110.265625,6.098566055297852,101161.4453125
6.0,0.02132025733590126,-1.6271624565124512,0.034842219203710556,-1.3165777921676636,1000000.0,1.0,case_216,40.01788330078125,98809.03125,59.701759338378906,98368.6875,unet,2412,39.80706787109375,101099.234375,59.34169006347656,100668.6875
8.0,0.027413688600063324,-1.9582691192626953,0.039344996213912964,-1.8920437097549438,100000.0,0.09999999999999999,case_217,20.406967163085938,98764.1484375,31.497493743896484,99015.5703125,unet,2412,20.511341094970703,101053.609375,31.690305709838867,101315.5703125
8.0,0.0271251630038023,-1.9692356586456299,0.03887900337576866,-1.9165809154510498,200000.0,0.19999999999999998,case_218,18.535995483398438,98762.671875,28.60181427001953,98986.78125,unet,2412,18.63751220703125,101052.109375,28.787582397460938,101286.78125
8.0,0.030666911974549294,-2.0006887912750244,0.04393935948610306,-1.8451378345489502,500000.0,0.5,case_219,5.811010360717773,98758.4375,8.632357597351074,98795.046875,unet,2412,5.902523040771484,101047.8203125,8.81347370147705,101095.046875
8.0,0.03494682535529137,-2.0480661392211914,0.049512047320604324,-1.8507441282272339,1000000.0,1.0,case_220,45.95736312866211,98752.0859375,69.26378631591797,98102.40625,unet,2412,45.96100997924805,101041.375,69.16504669189453,100402.40625
