AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
2.0,100000.0,0.09999999999999999,2500.0,case_013,0,0,198.78271484375,196.831787109375,fno,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,3000.0,case_013,0,0,698.78271484375,696.831787109375,fno,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,5000.0,case_013,0,0,2698.78271484375,2696.83154296875,fno,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,10000.0,case_013,0,0,7698.783203125,7696.83203125,fno,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,25000.0,case_013,0,0,22698.783203125,22696.83203125,fno,0006,0.0,8124,0,0.0
2.0,100000.0,0.09999999999999999,101325.0,case_013,0,0,99023.78125,99021.828125,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,2500.0,case_014,0,0,194.343017578125,187.179443359375,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,3000.0,case_014,0,0,694.343017578125,687.179443359375,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,5000.0,case_014,0,0,2694.3427734375,2687.1796875,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,10000.0,case_014,0,0,7694.3427734375,7687.1796875,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,25000.0,case_014,0,0,22694.34375,22687.1796875,fno,0006,0.0,8124,0,0.0
2.0,200000.0,0.19999999999999998,101325.0,case_014,0,0,99019.34375,99012.1796875,fno,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,2500.0,case_015,0,0,148.912109375,119.328125,fno,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,3000.0,case_015,0,0,648.912109375,619.328125,fno,0006,0.0,8124,0,0.0
2.0,500000.0,0.5,5000.0,case_015,0,0,2648.912109375,2619.328125,fno,0006,0.0,8124,0,0.0
