AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
10.0,0.030208114608626387,0.6801124842836099,0.08354202657938004,0.09952293,0.22788984326980344,5.816939293214369,0.8480967283248901,0.8722696,10.151737551147923,8.764508842334124,100000.0,0.09999999999999999,case_061,unet,0008
10.0,0.031097486170072283,0.1713700230215784,0.08448342978954315,0.09982976,0.2230005354507554,1.4626917557611077,0.8494682312011719,0.8646026,10.054850203374603,8.660770095009743,200000.0,0.19999999999999998,case_062,unet,0008
10.0,0.03106406927438962,0.02802581823891779,0.0871792584657669,0.09803959,0.22362376115148952,0.2378011181025312,0.8538391590118408,0.8671961,9.794063106732226,8.8453664483909,500000.0,0.5,case_063,unet,0008
10.0,0.031054395310414717,0.007223661615502345,0.09128960967063904,0.09744452,0.22382875959613582,0.06075352415550421,0.862336277961731,0.8680935,9.44616020457232,8.908592294364013,1000000.0,1.0,case_064,unet,0008
-4.0,0.007539279310863913,0.15169727480105344,0.024118516594171524,0.03182574,-0.12112187624767554,-2.6155695892881163,-0.26700228452682495,-0.4796902,-11.070427299469515,-15.072397373949515,100000.0,0.09999999999999999,case_065,unet,0010
-4.0,0.007242090790639222,0.03791712907827105,0.024068348109722137,0.02658572,-0.11791603465286273,-0.6518669076040708,-0.2658897042274475,-0.4726506,-11.047276822460631,-17.778363723081412,200000.0,0.19999999999999998,case_066,unet,0010
-4.0,0.00717925381065023,0.00606113958439313,0.02390739507973194,0.02373827,-0.11930085966418763,-0.10323761220264192,-0.26215291023254395,-0.4775432,-10.965348142625135,-20.117017794472808,500000.0,0.5,case_067,unet,0010
-4.0,0.007158849447812676,0.0015110795642702896,0.023607920855283737,0.02276802,-0.11976271288362994,-0.025297116274662503,-0.25511085987091064,-0.4791713,-10.806155333827872,-21.0458045978526,1000000.0,1.0,case_068,unet,0010
-2.0,0.004428241776775915,0.0696192632855066,0.021141640841960907,0.02432197,-0.07235526677094241,-1.9905577037706839,-0.1813237965106964,-0.2758272,-8.57661890418712,-11.340660316577974,100000.0,0.09999999999999999,case_069,unet,0010
-2.0,0.004247707968066907,0.017405987225926355,0.020977895706892014,0.01917175,-0.06931678604160142,-0.490396153702745,-0.17752230167388916,-0.2685417,-8.46235028309186,-14.007156362877671,200000.0,0.19999999999999998,case_070,unet,0010
