AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.201403432514082,0.02179334,0.3842829,17.632233873565337,07989b462ce8,start_0012_eval_081_07989b462ce8,,81,0.00013279294935160895,98871.219729,17.632233873565337,0.40367470704275166,0.0,0012,ok,0.11410202618886361,7.235131832996558
4.215679101827117,0.02186163,0.38575,17.644263293117067,07f2a1681660,start_0012_eval_082_07f2a1681660,,82,0.00013410682955804513,98870.707271,17.644263293117067,0.40285381396613884,0.0,0012,ok,0.11412106332336663,7.192786999999953
4.240909443178852,0.02198221,0.3883819,17.667206017683498,3d83fa5849b8,start_0012_eval_083_3d83fa5849b8,,83,0.00013626209503189024,98869.786043,17.667206017683498,0.4014382607088902,0.0,0012,ok,0.1141277558884361,7.079659125003673
4.245624492886392,0.02200224,0.3888728,17.673433548877348,5d5459cac887,start_0012_eval_084_5d5459cac887,,84,0.00013744085023132828,98869.60758,17.673433548877348,0.4009581748376754,0.0,0012,ok,0.11411326114537157,7.168635375004669
4.283194156111655,0.0221812,0.3927747,17.706751359197913,51a76183a92c,start_0012_eval_085_51a76183a92c,,85,0.00014129683352932012,98868.233714,17.706751359197913,0.39867069893533147,0.0,0012,ok,0.11411010561291046,7.058501917003014
4.287857804234044,0.02220753,0.3932318,17.70634076186042,91629b233c74,start_0012_eval_086_91629b233c74,,86,0.00013987692824037865,98868.075191,17.70634076186042,0.3986186656946815,0.0,0012,ok,0.11415872995147358,7.267244208000193
4.3095808463426355,0.02231414,0.3954753,17.72228630427593,f1fa1295d5ed,start_0012_eval_087_f1fa1295d5ed,,87,0.0001425867832604574,98867.283573,17.72228630427593,0.3972212614799099,0.0,0012,ok,0.11417115978434633,7.080206875005388
4.363669553256912,0.02384459,0.4049047,16.98027601749422,9a351bbc3f60,start_0012_eval_088_9a351bbc3f60,,88,0.00014748370021488164,98865.983485,16.98027601749422,0.3939945386984889,0.0,0012,ok,0.11420572658208772,7.091543832997559
4.3507639707447066,0.02251536,0.399742,17.75340241495517,d1bc2c88d5f3,start_0012_eval_089_d1bc2c88d5f3,,89,0.00014668771160847944,98865.754175,17.75340241495517,0.3949101317029865,0.0,0012,ok,0.11413409512498349,7.051513250000426
4.421142379022616,0.02286689,0.4069855,17.7972475816527,10e3001cfdac,start_0012_eval_090_10e3001cfdac,,90,0.0001533697632014473,98863.162972,17.7972475816527,0.39083304170126976,0.0,0012,ok,0.11412625244067537,7.133821959003399
