AoA,CD_pressure_proxy,CL_over_abs_CD,CL_pressure_proxy,Re,candidate_id,family,min_Cp,min_cavitation_margin,model,note,objective,risky_cell_fraction
8.0,-0.000705159385523233,-38.567812029549025,-0.027235022443761893,500000.0,naca_0012_aoa_8,NACA 0012,-0.39569395780563354,98973.8671875,fno,pressure-force proxy; validate top designs with OpenFOAM,-38.567812029549025,0.0
-2.0,-0.0007346617163987006,170.2626216960773,0.12525569251547888,500000.0,naca_2412_aoa_-2,NACA 2412,-0.49159836769104004,98967.796875,fno,pressure-force proxy; validate top designs with OpenFOAM,170.2626216960773,0.0
0.0,0.0036384796307103394,34.413821670541104,0.12524840298483242,500000.0,naca_2412_aoa_0,NACA 2412,-0.49165332317352295,98967.78125,fno,pressure-force proxy; validate top designs with OpenFOAM,34.413821670541104,0.0
2.0,0.008010411185052168,15.615000296705103,0.12509818803161618,500000.0,naca_2412_aoa_2,NACA 2412,-0.4917086660861969,98967.7578125,fno,pressure-force proxy; validate top designs with OpenFOAM,15.615000296705103,0.0
4.0,0.012375052816306655,10.082231379944846,0.12477822806442172,500000.0,naca_2412_aoa_4,NACA 2412,-0.49176403880119324,98967.734375,fno,pressure-force proxy; validate top designs with OpenFOAM,10.082231379944846,0.0
6.0,0.01672824445419825,7.431049018877356,0.12431583558792939,500000.0,naca_2412_aoa_6,NACA 2412,-0.49181967973709106,98967.71875,fno,pressure-force proxy; validate top designs with OpenFOAM,7.431049018877356,0.0
8.0,0.021064784212384516,5.87224543381907,0.12370345515099283,500000.0,naca_2412_aoa_8,NACA 2412,-0.4918755292892456,98967.6953125,fno,pressure-force proxy; validate top designs with OpenFOAM,5.87224543381907,0.0
-2.0,0.0030367211185324916,43.21762857868177,0.13128310302635496,500000.0,naca_4412_aoa_-2,NACA 4412,-0.6427308917045593,98943.9375,fno,pressure-force proxy; validate top designs with OpenFOAM,43.21762857868177,0.0
0.0,0.007618056137559346,17.211949341604676,0.13113880827051363,500000.0,naca_4412_aoa_0,NACA 4412,-0.6428115963935852,98943.9140625,fno,pressure-force proxy; validate top designs with OpenFOAM,17.211949341604676,0.0
2.0,0.012194912404672457,10.728032153873462,0.13083814042315034,500000.0,naca_4412_aoa_2,NACA 4412,-0.6428924798965454,98943.8828125,fno,pressure-force proxy; validate top designs with OpenFOAM,10.728032153873462,0.0
4.0,0.016759524918481143,7.778962871605543,0.13037950104948434,500000.0,naca_4412_aoa_4,NACA 4412,-0.6429735422134399,98943.859375,fno,pressure-force proxy; validate top designs with OpenFOAM,7.778962871605543,0.0
6.0,0.021306447428359854,6.0897211578974435,0.12975641342527047,500000.0,naca_4412_aoa_6,NACA 4412,-0.6430546641349792,98943.828125,fno,pressure-force proxy; validate top designs with OpenFOAM,6.0897211578974435,0.0
8.0,0.025830668756743363,4.993043277637486,0.12897864003601572,500000.0,naca_4412_aoa_8,NACA 4412,-0.6431359052658081,98943.796875,fno,pressure-force proxy; validate top designs with OpenFOAM,4.993043277637486,0.0
-2.0,0.0007414664931416672,94.2742342108984,0.06999546006818193,500000.0,naca_6409_aoa_-2,NACA 6409,-0.4995807707309723,98975.3203125,fno,pressure-force proxy; validate top designs with OpenFOAM,94.2742342108984,0.0
0.0,0.0031869490383381336,21.94740800516712,0.06996721824408718,500000.0,naca_6409_aoa_0,NACA 6409,-0.4995368421077728,98975.2890625,fno,pressure-force proxy; validate top designs with OpenFOAM,21.94740800516712,0.0
2.0,0.005629825597859802,12.407660884001107,0.06986537451519721,500000.0,naca_6409_aoa_2,NACA 6409,-0.4994930624961853,98975.265625,fno,pressure-force proxy; validate top designs with OpenFOAM,12.407660884001107,0.0
4.0,0.008069554949089699,8.63213424462664,0.0696661137491782,500000.0,naca_6409_aoa_4,NACA 6409,-0.4994497001171112,98975.2421875,fno,pressure-force proxy; validate top designs with OpenFOAM,8.63213424462664,0.0
6.0,0.010501646638707693,6.606214998449227,0.06938274174804311,500000.0,naca_6409_aoa_6,NACA 6409,-0.4994067847728729,98975.21875,fno,pressure-force proxy; validate top designs with OpenFOAM,6.606214998449227,0.0
8.0,0.012924556652926307,5.339472985717006,0.06901566057365473,500000.0,naca_6409_aoa_8,NACA 6409,-0.49936380982398987,98975.1875,fno,pressure-force proxy; validate top designs with OpenFOAM,5.339472985717006,0.0
-2.0,0.010164333536045301,6.110432902505416,0.06211458850359292,500000.0,naca_8412_aoa_-2,NACA 8412,-0.6515532732009888,98929.9453125,fno,pressure-force proxy; validate top designs with OpenFOAM,6.110432902505416,0.0
0.0,0.012331673709176748,5.007607866730776,0.0617571938838973,500000.0,naca_8412_aoa_0,NACA 8412,-0.6515831351280212,98929.90625,fno,pressure-force proxy; validate top designs with OpenFOAM,5.007607866730776,0.0
2.0,0.014486138183737484,4.233148189771812,0.06132620277746243,500000.0,naca_8412_aoa_2,NACA 8412,-0.6516126990318298,98929.8671875,fno,pressure-force proxy; validate top designs with OpenFOAM,4.233148189771812,0.0
4.0,0.016626112165357747,3.657822546776687,0.06081902576623051,500000.0,naca_8412_aoa_4,NACA 8412,-0.6516417860984802,98929.8359375,fno,pressure-force proxy; validate top designs with OpenFOAM,3.657822546776687,0.0
6.0,0.018748888882106345,3.2125149014098504,0.06023429743354552,500000.0,naca_8412_aoa_6,NACA 8412,-0.6516708135604858,98929.796875,fno,pressure-force proxy; validate top designs with OpenFOAM,3.2125149014098504,0.0
8.0,0.020851314313725618,2.857348749921399,0.059582334237292,500000.0,naca_8412_aoa_8,NACA 8412,-0.6516997814178467,98929.7578125,fno,pressure-force proxy; validate top designs with OpenFOAM,2.857348749921399,0.0
-2.0,0.004331266993526572,7.280630319662717,0.031541634425943606,500000.0,random_01_aoa_-2,random_01,-0.32282117009162903,98982.828125,fno,pressure-force proxy; validate top designs with OpenFOAM,7.280630319662717,0.0
0.0,0.0054321963425983085,5.776726523671993,0.03138608942060531,500000.0,random_01_aoa_0,random_01,-0.3228580355644226,98982.8125,fno,pressure-force proxy; validate top designs with OpenFOAM,5.776726523671993,0.0
2.0,0.006527185957961907,4.778426554564589,0.03119445713466085,500000.0,random_01_aoa_2,random_01,-0.3228950500488281,98982.796875,fno,pressure-force proxy; validate top designs with OpenFOAM,4.778426554564589,0.0
4.0,0.007615252414577784,4.064962329238545,0.0309597791552308,500000.0,random_01_aoa_4,random_01,-0.32293203473091125,98982.7890625,fno,pressure-force proxy; validate top designs with OpenFOAM,4.064962329238545,0.0
6.0,0.008694476931844613,3.528770691748506,0.03068434414786849,500000.0,random_01_aoa_6,random_01,-0.3229691684246063,98982.7734375,fno,pressure-force proxy; validate top designs with OpenFOAM,3.528770691748506,0.0
8.0,0.009764109636840762,3.1101464979353293,0.03037092153897483,500000.0,random_01_aoa_8,random_01,-0.32300612330436707,98982.765625,fno,pressure-force proxy; validate top designs with OpenFOAM,3.1101464979353293,0.0
-2.0,0.010352538836261077,8.085806730107784,0.08371671400267212,500000.0,random_02_aoa_-2,random_02,-0.4010627567768097,98954.4140625,fno,pressure-force proxy; validate top designs with OpenFOAM,8.085806730107784,0.0
0.0,0.013271849277385273,6.279004792238138,0.08334028421935663,500000.0,random_02_aoa_0,random_02,-0.40102410316467285,98954.3828125,fno,pressure-force proxy; validate top designs with OpenFOAM,6.279004792238138,0.0
2.0,0.016179534518479942,5.121179723180119,0.08286342528625547,500000.0,random_02_aoa_2,random_02,-0.4009857177734375,98954.3515625,fno,pressure-force proxy; validate top designs with OpenFOAM,5.121179723180119,0.0
4.0,0.0190695551095412,4.3148540355275715,0.08228666167415481,500000.0,random_02_aoa_4,random_02,-0.400947242975235,98954.3203125,fno,pressure-force proxy; validate top designs with OpenFOAM,4.3148540355275715,0.0
6.0,0.021940298352386204,3.719602831924639,0.08161291548763915,500000.0,random_02_aoa_6,random_02,-0.40090879797935486,98954.2890625,fno,pressure-force proxy; validate top designs with OpenFOAM,3.719602831924639,0.0
8.0,0.02478459239206028,3.2613235181444975,0.08083383537936953,500000.0,random_02_aoa_8,random_02,-0.4008704721927643,98954.2578125,fno,pressure-force proxy; validate top designs with OpenFOAM,3.2613235181444975,0.0
-2.0,0.005028455684553072,-3.8430670761510815,-0.01932853555226681,500000.0,random_03_aoa_-2,random_03,-0.312610924243927,98976.90625,fno,pressure-force proxy; validate top designs with OpenFOAM,-3.8430670761510815,0.0
0.0,0.004353564385784272,-4.476578378416289,-0.01949354877682348,500000.0,random_03_aoa_0,random_03,-0.31262823939323425,98976.8828125,fno,pressure-force proxy; validate top designs with OpenFOAM,-4.476578378416289,0.0
2.0,0.003673130092212696,-5.345551075192321,-0.01964025006482404,500000.0,random_03_aoa_2,random_03,-0.3126455843448639,98976.859375,fno,pressure-force proxy; validate top designs with OpenFOAM,-5.345551075192321,0.0
4.0,0.0029875756644539226,-6.612968117718727,-0.01976335558642385,500000.0,random_03_aoa_4,random_03,-0.31266289949417114,98976.8359375,fno,pressure-force proxy; validate top designs with OpenFOAM,-6.612968117718727,0.0
6.0,0.002297391847595084,-8.642630011649988,-0.01986415036055694,500000.0,random_03_aoa_6,random_03,-0.3126802146434784,98976.8125,fno,pressure-force proxy; validate top designs with OpenFOAM,-8.642630011649988,0.0
8.0,0.0016045590686661062,-12.421124544277456,-0.019942849155095824,500000.0,random_03_aoa_8,random_03,-0.3126976191997528,98976.7890625,fno,pressure-force proxy; validate top designs with OpenFOAM,-12.421124544277456,0.0
-2.0,0.006031749593153328,-3.3573042269056512,-0.020253775708957016,500000.0,random_04_aoa_-2,random_04,-0.3640953004360199,98971.3671875,fno,pressure-force proxy; validate top designs with OpenFOAM,-3.3573042269056512,0.0
0.0,0.005324395752718317,-3.842169274662501,-0.0204610719365125,500000.0,random_04_aoa_0,random_04,-0.3641210198402405,98971.34375,fno,pressure-force proxy; validate top designs with OpenFOAM,-3.842169274662501,0.0
2.0,0.004608928309659387,-4.4783561730024894,-0.020644900902662047,500000.0,random_04_aoa_2,random_04,-0.36414673924446106,98971.3203125,fno,pressure-force proxy; validate top designs with OpenFOAM,-4.4783561730024894,0.0
4.0,0.003887885050774301,-5.348471674243729,-0.020799591538456237,500000.0,random_04_aoa_4,random_04,-0.36417195200920105,98971.296875,fno,pressure-force proxy; validate top designs with OpenFOAM,-5.348471674243729,0.0
6.0,0.003161135259063076,-6.6209971321657015,-0.020936488481776674,500000.0,random_04_aoa_6,random_04,-0.3641972243785858,98971.28125,fno,pressure-force proxy; validate top designs with OpenFOAM,-6.6209971321657015,0.0
8.0,0.0024297370498555307,-8.656957527956248,-0.021042787402229,500000.0,random_04_aoa_8,random_04,-0.36422213912010193,98971.2578125,fno,pressure-force proxy; validate top designs with OpenFOAM,-8.656957527956248,0.0
-2.0,0.0026415812967905306,52.52871657911694,0.13881140397638508,500000.0,random_05_aoa_-2,random_05,-0.7146825194358826,98942.6640625,fno,pressure-force proxy; validate top designs with OpenFOAM,52.52871657911694,0.0
0.0,0.007487815983197335,18.519740592722407,0.13869092935544805,500000.0,random_05_aoa_0,random_05,-0.7147761583328247,98942.640625,fno,pressure-force proxy; validate top designs with OpenFOAM,18.519740592722407,0.0
2.0,0.012326656567151713,11.225930997290694,0.1383894219811426,500000.0,random_05_aoa_2,random_05,-0.7148697376251221,98942.609375,fno,pressure-force proxy; validate top designs with OpenFOAM,11.225930997290694,0.0
4.0,0.01715519960741215,8.039273290344411,0.1379233772676858,500000.0,random_05_aoa_4,random_05,-0.7149631977081299,98942.5859375,fno,pressure-force proxy; validate top designs with OpenFOAM,8.039273290344411,0.0
6.0,0.021964578709919306,6.249834103869493,0.13728122293248335,500000.0,random_05_aoa_6,random_05,-0.7150564789772034,98942.5625,fno,pressure-force proxy; validate top designs with OpenFOAM,6.249834103869493,0.0
8.0,0.026751885627720056,5.101604877739788,0.13648265181199132,500000.0,random_05_aoa_8,random_05,-0.7151496410369873,98942.53125,fno,pressure-force proxy; validate top designs with OpenFOAM,5.101604877739788,0.0
